"Period","Derived_Total","Measure","Value"
1989-12-31,"HCE","Miscellaneous goods and services",879
1989-12-31,"HCE","Recreation and culture",976
1989-12-31,"HCE","Restaurants and hotels",616
1989-12-31,"HCE","Transport",1701
1990-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",632
1990-03-31,"HCE","Clothing and footwear",548
1990-03-31,"HCE","Communication",277
1990-03-31,"HCE","Food and nonalcoholic beverages",1512
1990-03-31,"HCE","Household contents and services",700
1990-03-31,"HCE","Housing and household utilities",2653
1990-03-31,"HCE","Miscellaneous goods and services",900
1990-03-31,"HCE","Recreation and culture",1006
1990-03-31,"HCE","Restaurants and hotels",651
1990-03-31,"HCE","Transport",1725
1990-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",658
1990-06-30,"HCE","Clothing and footwear",555
1990-06-30,"HCE","Communication",278
1990-06-30,"HCE","Food and nonalcoholic beverages",1548
1990-06-30,"HCE","Household contents and services",692
1990-06-30,"HCE","Housing and household utilities",2711
1990-06-30,"HCE","Miscellaneous goods and services",930
1990-06-30,"HCE","Recreation and culture",1027
1990-06-30,"HCE","Restaurants and hotels",644
1990-06-30,"HCE","Transport",1708
1990-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",679
1990-09-30,"HCE","Clothing and footwear",563
1990-09-30,"HCE","Communication",268
1990-09-30,"HCE","Food and nonalcoholic beverages",1573
1990-09-30,"HCE","Household contents and services",688
1990-09-30,"HCE","Housing and household utilities",2772
1990-09-30,"HCE","Miscellaneous goods and services",939
1990-09-30,"HCE","Recreation and culture",1035
1990-09-30,"HCE","Restaurants and hotels",645
1990-09-30,"HCE","Transport",1702
1990-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",700
1990-12-31,"HCE","Clothing and footwear",574
1990-12-31,"HCE","Communication",273
1990-12-31,"HCE","Food and nonalcoholic beverages",1625
1990-12-31,"HCE","Household contents and services",695
1990-12-31,"HCE","Housing and household utilities",2812
1990-12-31,"HCE","Miscellaneous goods and services",983
1990-12-31,"HCE","Recreation and culture",1046
1990-12-31,"HCE","Restaurants and hotels",668
1990-12-31,"HCE","Transport",1866
1991-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",693
1991-03-31,"HCE","Clothing and footwear",582
1991-03-31,"HCE","Communication",279
1991-03-31,"HCE","Food and nonalcoholic beverages",1587
1991-03-31,"HCE","Household contents and services",673
